Timeline Trace
Generated on: 2021-01-15 11:48:13
Msec since Epoch: 1610711293082
Profiled application: Canny2Hell
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
23.556107,clGetPlatformIDs|General,START,,,,,,,,,,,0,
23.616499,clGetPlatformIDs|General,END,,,,,,,,,,,0,
23.630105,clGetPlatformIDs|General,START,,,,,,,,,,,1,
23.636176,clGetPlatformIDs|General,END,,,,,,,,,,,1,
23.646025,clGetPlatformInfo|General,START,,,,,,,,,,,2,
23.651963,clGetPlatformInfo|General,END,,,,,,,,,,,2,
23.657173,clGetPlatformInfo|General,START,,,,,,,,,,,3,
23.662275,clGetPlatformInfo|General,END,,,,,,,,,,,3,
23.716526,clGetDeviceIDs|General,START,,,,,,,,,,,4,
23.727154,clGetDeviceIDs|General,END,,,,,,,,,,,4,
23.732919,clGetDeviceIDs|General,START,,,,,,,,,,,5,
23.738242,clGetDeviceIDs|General,END,,,,,,,,,,,5,
23.745886,clRetainDevice|General,START,,,,,,,,,,,6,
23.75195,clRetainDevice|General,END,,,,,,,,,,,6,
23.757343,clRetainDevice|General,START,,,,,,,,,,,7,
23.76244,clRetainDevice|General,END,,,,,,,,,,,7,
23.770479,clCreateContext|General,START,,,,,,,,,,,8,
23.797614,clCreateContext|General,END,,,,,,,,,,,8,
23.805078,clCreateCommandQueue|General,START,,,,,,,,,,,9,
23.822101,clCreateCommandQueue|General,END,,,,,,,,,,,9,
23.831025,clGetDeviceInfo|General,START,,,,,,,,,,,10,
23.838373,clGetDeviceInfo|General,END,,,,,,,,,,,10,
23.843646,clGetDeviceInfo|General,START,,,,,,,,,,,11,
23.852079,clGetDeviceInfo|General,END,,,,,,,,,,,11,
43.88879,clCreateProgramWithBinary|General,START,,,,,,,,,,,12,
26803.31288,clCreateProgramWithBinary|General,END,,,,,,,,,,,12,
26803.35844,clCreateKernel|General,START,,,,,,,,,,,13,
26805.43092,clCreateKernel|General,END,,,,,,,,,,,13,
26805.46158,clCreateBuffer|General,START,,,,,,,,,,,14,
26812.77399,clCreateBuffer|General,END,,,,,,,,,,,14,
26812.79178,clCreateBuffer|General,START,,,,,,,,,,,15,
26813.32668,clCreateBuffer|General,END,,,,,,,,,,,15,
26813.33958,clCreateBuffer|General,START,,,,,,,,,,,16,
26813.83388,clCreateBuffer|General,END,,,,,,,,,,,16,
26813.85055,clSetKernelArg|General,START,,,,,,,,,,,17,
26813.86463,clSetKernelArg|General,END,,,,,,,,,,,17,
26813.87041,clSetKernelArg|General,START,,,,,,,,,,,18,
26813.87618,clSetKernelArg|General,END,,,,,,,,,,,18,
26813.88123,clSetKernelArg|General,START,,,,,,,,,,,19,
26813.8866,clSetKernelArg|General,END,,,,,,,,,,,19,
26813.89165,clSetKernelArg|General,START,,,,,,,,,,,20,
26813.89684,clSetKernelArg|General,END,,,,,,,,,,,20,
26813.90167,clSetKernelArg|General,START,,,,,,,,,,,21,
26813.90708,clSetKernelArg|General,END,,,,,,,,,,,21,
26813.91215,clSetKernelArg|General,START,,,,,,,,,,,22,
26813.91728,clSetKernelArg|General,END,,,,,,,,,,,22,
26813.92208,clSetKernelArg|General,START,,,,,,,,,,,23,
26813.9271,clSetKernelArg|General,END,,,,,,,,,,,23,
26813.93201,clSetKernelArg|General,START,,,,,,,,,,,24,
26813.93698,clSetKernelArg|General,END,,,,,,,,,,,24,
26813.94567,clEnqueueWriteBuffer|30570672,START,,,,,,,,,,,25,
26814.46225,clEnqueueWriteBuffer|30570672,END,,,,,,,,,,,25,
26814.47653,clEnqueueWriteBuffer|30570672,START,,,,,,,,,,,26,
26814.57692,clEnqueueWriteBuffer|30570672,END,,,,,,,,,,,26,
26814.59892,clEnqueueTask|30570672,START,,,,,,,,,,,27,
26814.62619,WRITE_BUFFER,QUEUE,0X400000000|bank1,36864,,,,,,,,,
26814.64497,WRITE_BUFFER,SUBMIT,0X400000000|bank1,36864,,,,,,,,,
26814.67678,DEPENDENCY_EVENT,,2,3,
26814.6979,WRITE_BUFFER,START,0X400000000|bank1|0X7f6ce9803700,36864,,,,,,,2,3,
26814.71628,DEPENDENCY_EVENT,,2,3,
26814.75257,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,QUEUE,0X1E81310,1,,,,,,,,,
26816.54145,clEnqueueTask|30570672,END,,,,,,,,,,,27,
26816.56239,clWaitForEvents|General,START,,,,,,,,,,,28,
26817.76405,WRITE_BUFFER,END,0X400000000|bank1|0X7f6ce9803700,36864,,,,,,,2,3|3,
26817.79384,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,SUBMIT,0X1E81310,1,,,,,,,,,
26817.94072,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,START,0X1E81310,1,,,,,,,3,None,
88829.79068,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|krnl_canny|canny_accel|1:1:1|all,END,0X1E81310,1,,,,,,,3,None,
88830.19402,clWaitForEvents|General,END,,,,,,,,,,,28,
88830.22992,clGetEventProfilingInfo|General,START,,,,,,,,,,,29,
88830.24744,clGetEventProfilingInfo|General,END,,,,,,,,,,,29,
88830.25652,clGetEventProfilingInfo|General,START,,,,,,,,,,,30,
88830.26647,clGetEventProfilingInfo|General,END,,,,,,,,,,,30,
88830.30379,clCreateKernel|General,START,,,,,,,,,,,31,
88831.72306,clCreateKernel|General,END,,,,,,,,,,,31,
88831.73694,clCreateBuffer|General,START,,,,,,,,,,,32,
88832.69714,clCreateBuffer|General,END,,,,,,,,,,,32,
88832.71323,clSetKernelArg|General,START,,,,,,,,,,,33,
88832.72317,clSetKernelArg|General,END,,,,,,,,,,,33,
88832.7287,clSetKernelArg|General,START,,,,,,,,,,,34,
88832.73436,clSetKernelArg|General,END,,,,,,,,,,,34,
88832.73936,clSetKernelArg|General,START,,,,,,,,,,,35,
88832.74458,clSetKernelArg|General,END,,,,,,,,,,,35,
88832.74944,clSetKernelArg|General,START,,,,,,,,,,,36,
